time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,x_pose,y_pose,z_pose,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
2023/02/22/20:32:47.234462,2496,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.284487,2497,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.334521,2498,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.384415,2499,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.434721,2500,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.484666,2501,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.534614,2502,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.584475,2503,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.634466,2504,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.684415,2505,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.734406,2506,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.784260,2507,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.834263,2508,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.884372,2509,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.934326,2510,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:47.984403,2511,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.034450,2512,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.084413,2513,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.134516,2514,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.184455,2515,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.234611,2516,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.284483,2517,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.334905,2518,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.384428,2519,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.434495,2520,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.484573,2521,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.534582,2522,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.584689,2523,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.634510,2524,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.684523,2525,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.734501,2526,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.784540,2527,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.834478,2528,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.884557,2529,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.934522,2530,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:48.984551,2531,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.034441,2532,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.084655,2533,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.134459,2534,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.184656,2535,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.234603,2536,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.284522,2537,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.334554,2538,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.384493,2539,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.434539,2540,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.484313,2541,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:49.534587,2542,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
