time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x_pose,y_pose,z_pose,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,c
2023/02/19/19:16:51.139282,2069,1814965,711392910,map,4.349771976,10.01319504,15.00235462,-0.02126056,-0.002295232,-0.707146108,-0.70674402,69
2023/02/19/19:16:51.171301,2070,1814965,743392910,map,4.364845276,10.01230812,15.00257206,-0.019660827,-0.000731574,-0.707173324,-0.706766452,69
2023/02/19/19:16:51.203202,2071,1814965,775949591,map,4.380506516,10.01143074,15.00275517,-0.01797234,0.000723484,-0.707158998,-0.706825791,69
2023/02/19/19:16:51.243195,2072,1814965,815949591,map,4.400523186,10.01029015,15.0030117,-0.016955749,0.001739002,-0.707166844,-0.706841379,69
2023/02/19/19:16:51.275716,2073,1814965,847949591,map,4.417013645,10.00935841,15.00315571,-0.015555414,0.003024177,-0.707202785,-0.706833255,69
2023/02/19/19:16:51.307694,2074,1814965,880517014,map,4.433940411,10.00844479,15.0032568,-0.013785516,0.004643275,-0.707164896,-0.706899129,69
2023/02/19/19:16:51.343356,2075,1814965,912517014,map,4.451179504,10.00759125,15.00342369,-0.01320558,0.00520366,-0.707169181,-0.706901926,69
2023/02/19/19:16:51.375403,2076,1814965,944517014,map,4.468759537,10.0067625,15.00360394,-0.011746127,0.006722729,-0.707122032,-0.706961971,69
2023/02/19/19:16:51.407979,2077,1814965,977082531,map,4.486668587,10.00594711,15.00380898,-0.010180546,0.008031762,-0.707139626,-0.706955166,69
2023/02/19/19:16:51.447138,2078,1814966,17082531,map,4.509395123,10.00495625,15.00412178,-0.009572131,0.008742339,-0.707143234,-0.706951559,70
2023/02/19/19:16:51.479449,2079,1814966,49082531,map,4.52782917,10.00421143,15.00440884,-0.008012497,0.010042804,-0.707072809,-0.707024006,70
2023/02/19/19:16:51.511339,2080,1814966,81658236,map,4.54645443,10.00352764,15.00471687,-0.006593555,0.011327224,-0.70706023,-0.707031866,70
2023/02/19/19:16:51.547192,2081,1814966,113658236,map,4.565208912,10.00285435,15.00501442,-0.005942136,0.012081151,-0.707059063,-0.707026457,70
2023/02/19/19:16:51.579546,2082,1814966,145658236,map,4.584081173,10.00217819,15.00527573,-0.004412385,0.013396592,-0.707044035,-0.707028842,70
2023/02/19/19:16:51.615505,2083,1814966,178244048,map,4.603051186,10.00150394,15.00549316,-0.003315391,0.014536698,-0.70702016,-0.707036195,70
2023/02/19/19:16:51.651257,2084,1814966,218244048,map,4.626842976,10.00056553,15.00568485,-0.00276502,0.015183564,-0.707025314,-0.707019829,70
2023/02/19/19:16:51.683954,2085,1814966,250244048,map,4.645834923,9.999801636,15.00579453,-0.001597056,0.016365553,-0.706937498,-0.707084886,70
2023/02/19/19:16:51.715319,2086,1814966,282828751,map,4.664776325,9.999037743,15.00589752,-0.000429451,0.017640258,-0.706832933,-0.707160538,70
2023/02/19/19:16:51.751368,2087,1814966,314828751,map,4.683652401,9.998271942,15.00600529,2.97E-05,0.018009752,-0.7068319,-0.707152383,70
2023/02/19/19:16:51.783262,2088,1814966,346828751,map,4.702440262,9.997504234,15.00611401,0.001000605,0.019181167,-0.706743454,-0.707209135,70
2023/02/19/19:16:51.815308,2089,1814966,379411012,map,4.721209049,9.996748924,15.00624275,0.002044129,0.020092039,-0.706626237,-0.707298704,70
2023/02/19/19:16:51.855426,2090,1814966,419411012,map,4.744445801,9.995842934,15.00634956,0.002472171,0.020576984,-0.706638258,-0.707271341,70
2023/02/19/19:16:51.887293,2091,1814966,451411012,map,4.76285696,9.995120049,15.00641918,0.003355105,0.02149494,-0.706613435,-0.707265397,70
2023/02/19/19:16:51.919340,2092,1814966,484003550,map,4.781264305,9.994377136,15.00649452,0.004256378,0.022325558,-0.70657231,-0.707275924,70
2023/02/19/19:16:51.955398,2093,1814966,516003550,map,4.799432755,9.993676186,15.00650883,0.004638812,0.022753226,-0.706568709,-0.70726334,70
2023/02/19/19:16:51.987310,2094,1814966,548003550,map,4.817463875,9.992965698,15.00652504,0.00555472,0.023380933,-0.706594666,-0.707210409,70
2023/02/19/19:16:52.019319,2095,1814966,580594307,map,4.835333824,9.992240906,15.00650215,0.006197118,0.02404623,-0.7065746,-0.707202658,70
2023/02/19/19:16:52.055288,2096,1814966,620594307,map,4.857291222,9.991341591,15.00643158,0.006712139,0.024360776,-0.70661457,-0.707147347,70
2023/02/19/19:16:52.087362,2097,1814966,652594307,map,4.874602795,9.990614891,15.00638962,0.007372051,0.025087961,-0.706660305,-0.707069664,70
2023/02/19/19:16:52.119071,2098,1814966,685183073,map,4.891658783,9.989920616,15.00636959,0.008030967,0.025725387,-0.706653403,-0.707046389,70
